problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 42; 132; integer optimal solution; 0.0071258544921875; False;  
ID000_M003_J004; minla_fav; 3; 4; True; 29.0; 29.0; 0.0; 212; 67; 32; 0; 736; integer optimal solution; 0.0028710365295410156; False;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.0003540515899658203; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.49264400299227; nan; 212; 67; 39; 86; 736; optimal; 0.0008370876312255859; False;  
ID000_M003_J005; manne; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 29; 107; 210; integer optimal solution; 0.009531021118164062; False;  
ID000_M003_J005; minla_fav; 3; 5; True; 33.0; 33.0; 0.0; 400; 136; 61; 354; 1505; integer optimal solution; 0.02087712287902832; False;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.0003731250762939453; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 28.5586131840796; nan; 400; 136; 90; 272; 1505; optimal; 0.002418041229248047; False;  
ID000_M015_J015; manne; 15; 15; True; 1209.9999898108024; 1209.999999998; 8.419171596078956e-09; 3375; 1801; 1009; 11263213; 9900; integer optimal, tolerance; 237.3332221508026; False;  
ID000_M015_J015; minla_fav; 15; 15; True; 1034.0756415548537; 9543.0; 0.8916404022262452; 51060; 22276; 7050; 5287471; 234195; time limit exceeded; 3600.073473930359; True;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.018455028533935547; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 982.4701986754967; nan; 51060; 22276; 10898; 39324; 234195; optimal; 20.687919855117798; False;  
ID001_M015_J015; manne; 15; 15; True; 1176.9666666666662; 1177.0; 2.8320589068610815e-05; 3375; 1801; 995; 69027037; 9900; integer optimal, tolerance; 974.1290409564972; False;  
ID001_M015_J015; minla_fav; 15; 15; True; 1023.6841488788039; 9107.0; 0.88759370276942; 51060; 22276; 8625; 3647393; 234195; time limit exceeded; 3600.058438062668; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.017940998077392578; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 945.6247810339937; nan; 51060; 22276; 10452; 53274; 234195; optimal; 31.135395050048828; False;  
ID002_M015_J015; manne; 15; 15; True; 1196.9024183283839; 1196.999999992; 8.152185765819115e-05; 3375; 1801; 1008; 179317681; 9900; integer optimal, tolerance; 2530.7080669403076; False;  
ID002_M015_J015; minla_fav; 15; 15; True; 1001.0; 8571.0; 0.8832108272080168; 51060; 22276; 8625; 4267845; 234195; time limit exceeded; 3600.141288995743; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.02145099639892578; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 947.8456375838928; nan; 51060; 22276; 10063; 58657; 234195; optimal; 35.86919093132019; False;  
ID003_M015_J015; manne; 15; 15; True; 1091.5316455696204; 1176.0; 0.07182683199861598; 3375; 1801; 1007; 198490863; 9900; time limit exceeded; 3600.0064039230347; True;  
ID003_M015_J015; minla_fav; 15; 15; True; 955.8326522074028; 3979.0; 0.7597806855472533; 51060; 22276; 9795; 2499782; 234195; time limit exceeded; 3600.6722559928894; True;  
ID003_M015_J015; manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.018887042999267578; False;  
ID003_M015_J015; minla_fav; 15; 15; False; nan; 911.0; nan; 51060; 22276; 10626; 54787; 234195; optimal; 35.25680422782898; False;  
ID004_M015_J015; manne; 15; 15; True; 1138.1371786841116; 1235.0; 0.07843143426387086; 3375; 1801; 1087; 191193666; 9900; time limit exceeded; 3600.007665872574; True;  
ID004_M015_J015; minla_fav; 15; 15; True; 1012.3772216845043; 8380.0; 0.8791912623288076; 51060; 22276; 8625; 5217561; 234195; time limit exceeded; 3600.073534965515; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.018630027770996094; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 975.956005131811; nan; 51060; 22276; 10409; 30212; 234195; optimal; 3.920503854751587; False;  
ID005_M015_J015; manne; 15; 15; True; 1161.887752200548; 1162.0; 9.659879470911975e-05; 3375; 1801; 1014; 89597757; 9900; integer optimal, tolerance; 1573.8638060092926; False;  
ID005_M015_J015; minla_fav; 15; 15; True; 956.2239762543285; 9421.0; 0.8985007986143277; 51060; 22276; 8625; 3369188; 234195; time limit exceeded; 3600.088079929352; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.020355939865112305; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 915.2325157953346; nan; 51060; 22276; 10698; 52425; 234195; optimal; 9.084692001342773; False;  
ID006_M015_J015; manne; 15; 15; True; 1242.9310344827588; 1242.9999999999995; 5.548311926042425e-05; 3375; 1801; 1010; 15336692; 9900; integer optimal, tolerance; 294.8321099281311; False;  
ID006_M015_J015; minla_fav; 15; 15; True; 1027.2530552926087; 8957.0; 0.8853128217826619; 51060; 22276; 7050; 4916192; 234195; time limit exceeded; 3600.064388990402; True;  
ID006_M015_J015; manne; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 9900; optimal; 0.021188974380493164; False;  
ID006_M015_J015; minla_fav; 15; 15; False; nan; 979.5495187544667; nan; 51060; 22276; 11106; 60998; 234195; optimal; 20.7329580783844; False;  
ID007_M015_J015; manne; 15; 15; True; 1181.0; 1181.0; 0.0; 3375; 1801; 1039; 1524290; 9900; integer optimal solution; 51.4777569770813; False;  
ID007_M015_J015; minla_fav; 15; 15; True; 1021.4391720868574; 2177.0; 0.5308042388208954; 51060; 22276; 8841; 3977188; 234195; time limit exceeded; 3600.0622289180756; True;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.017438888549804688; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 963.8989230666076; nan; 51060; 22276; 11580; 49575; 234195; optimal; 20.14134907722473; False;  
ID008_M015_J015; manne; 15; 15; True; 1207.9999999999982; 1292.9999998164044; 0.06573859228806571; 3375; 1801; 976; 229276848; 9900; time limit exceeded; 3600.007518053055; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 1052.4953271028; 9017.0; 0.8832765523896098; 51060; 22276; 8625; 4790254; 234195; time limit exceeded; 3600.0665130615234; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.020565032958984375; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1012.3867558961844; nan; 51060; 22276; 10531; 32742; 234195; optimal; 5.643418073654175; False;  
ID009_M015_J015; manne; 15; 15; True; 1090.5844544104618; 1217.0; 0.10387472932582398; 3375; 1801; 1028; 150953786; 9900; time limit exceeded; 3600.007653951645; True;  
ID009_M015_J015; minla_fav; 15; 15; True; 1014.8111357324823; 8943.0; 0.8865245291588314; 51060; 22276; 7050; 5648975; 234195; time limit exceeded; 3600.0611560344696; True;  
ID009_M015_J015; manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.020624160766601562; False;  
ID009_M015_J015; minla_fav; 15; 15; False; nan; 988.9418385634597; nan; 51060; 22276; 10128; 31377; 234195; optimal; 4.203773021697998; False;  
ID000_M015_J020; manne; 15; 20; True; 1137.9999999999998; 1393.9999999990002; 0.1836441893824718; 6000; 3151; 1711; 117787060; 17700; time limit exceeded; 3601.027633190155; True;  
ID000_M015_J020; minla_fav; 15; 20; True; 1022.8212863248662; 10938.0; 0.9064891857446556; 120580; 54451; 20250; 688583; 565760; time limit exceeded; 3600.066251039505; True;  
ID000_M015_J020; manne; 15; 20; False; nan; 949.0; nan; 6000; 3151; 1953; 1952; 17700; optimal; 0.03780412673950195; False;  
ID000_M015_J020; minla_fav; 15; 20; False; nan; 992.179625208456; nan; 120580; 54451; 27821; 576628; 565760; optimal; 984.1303091049194; False;  
ID001_M015_J020; manne; 15; 20; True; 1102.236323352213; 1440.0; 0.2345581087831691; 6000; 3151; 1738; 76050721; 17700; time limit exceeded; 3600.0113639831543; True;  
ID001_M015_J020; minla_fav; 15; 20; True; 1050.2922632315112; 12702.0; 0.9173128433922529; 120580; 54451; 20250; 1103939; 565760; time limit exceeded; 3600.068742990494; True;  
ID001_M015_J020; manne; 15; 20; False; nan; 1012.0; nan; 6000; 3151; 1913; 1912; 17700; optimal; 0.0415959358215332; False;  
ID001_M015_J020; minla_fav; 15; 20; False; nan; 1031.4673802729278; nan; 120580; 54451; 26610; 366016; 565760; optimal; 506.4344069957733; False;  
ID002_M015_J020; manne; 15; 20; True; 1143.0471698111858; 1406.9999999999995; 0.18759973716332273; 6000; 3151; 1720; 79286600; 17700; time limit exceeded; 3600.1561419963837; True;  
ID002_M015_J020; minla_fav; 15; 20; True; 1068.0871541177328; 11401.0; 0.906316362238591; 120580; 54451; 20250; 780371; 565760; time limit exceeded; 3600.0564708709717; True;  
